,appid,english,required_age,achievements,positive_ratings,negative_ratings,average_playtime,median_playtime,price
0,0.001,1,0,0,124534,3339,17612,317,7.19
1,0.001,1,0,0,3318,633,277,62,3.99
2,0.001,1,0,0,3416,398,187,34,3.99
3,0.001,1,0,0,1273,267,258,184,3.99
4,0.001,1,0,0,5250,288,624,415,3.99
5,0.001,1,0,0,2758,684,175,10,3.99
6,0.001,1,0,0,27755,1100,1300,83,7.19
7,0.001,1,0,0,12120,1439,427,43,7.19
8,0.001,1,0,0,3822,420,361,205,3.99
9,0.001,1,0,33,67902,2419,691,402,7.19
10,0.001,1,0,147,76640,3497,6842,400,7.19
11,0.001,1,0,0,3767,1053,190,214,0.0
12,0.001,1,0,54,10489,1210,1356,134,7.19
13,0.001,1,0,0,6020,787,311,32,3.99
14,0.001,1,0,0,5783,1020,46,29,0.0
15,0.001,1,0,0,1362,473,102,81,0.0
16,0.001,1,0,13,7908,517,281,184,5.79
17,0.001,1,0,15,51801,1080,288,137,7.19
18,0.001,1,0,22,13902,696,354,301,5.79
19,0.001,1,0,520,515879,34036,8495,623,0.0
20,0.001,1,0,73,17951,948,897,278,7.19
21,0.001,1,0,70,251789,8418,1615,566,7.19
22,0.001,1,0,0,863507,142079,23944,801,0.0
23,0.001,1,0,51,138220,1891,1102,520,7.19
24,0.001,1,0,66,17435,941,371,83,0.0
25,0.001,1,0,167,2644404,402313,22494,6502,0.0
26,0.001,1,0,0,40,17,0,0,5.99
27,0.001,1,0,44,1562,223,232,258,3.99
28,0.001,1,0,285,53710,2649,1328,306,14.99
29,0.001,1,0,0,468,61,0,0,7.19
30,0.001,1,0,0,472,158,182,273,7.19
31,0.001,1,0,0,1602,152,65,77,6.99
32,0.001,1,0,22,2057,344,80,119,7.19
33,0.001,1,0,12,368,75,121,224,7.19
34,0.001,1,0,0,140,44,0,0,22.99
35,0.001,1,0,0,112,26,0,0,6.99
36,0.001,1,0,0,451,108,0,0,4.99
37,0.001,1,0,0,490,152,9,12,4.99
38,0.001,1,0,0,137,102,0,0,3.99
39,0.001,1,0,0,191,85,35,35,10.99
40,0.001,1,0,0,671,106,11,21,2.99
41,0.001,1,0,0,15083,1111,239,77,0.0
42,0.001,1,0,0,498,238,405,414,3.99
43,0.001,1,0,0,2656,1055,484,422,6.99
44,0.001,1,0,0,4386,316,634,700,4.29
45,0.001,1,0,0,1362,66,123,103,12.99
46,0.001,1,18,0,891,171,36,32,12.99
47,0.001,1,0,0,1773,87,69,110,2.99
48,0.001,1,0,0,3705,257,125,179,3.99
49,0.001,1,0,0,573,82,120,114,3.99
50,0.001,1,0,0,2517,182,90,78,3.99
51,0.001,1,0,0,2618,136,167,189,3.99
52,0.001,1,0,0,1369,107,291,349,3.99
53,0.001,1,0,0,65,12,32,32,2.49
54,0.001,1,0,0,54,33,1,1,2.49
55,0.001,1,0,0,108,31,0,0,12.99
56,0.001,1,0,0,249,26,50,50,2.99
57,0.001,1,0,0,57,20,0,0,2.99
58,0.001,1,0,0,417,29,0,0,2.99
59,0.001,1,0,0,4819,792,233,239,0.0
60,0.001,1,0,12,662,204,193,193,4.29
61,0.001,1,0,0,973,248,186,258,3.99
62,0.001,1,0,0,52,46,0,0,0.0
63,0.001,1,0,0,610,523,0,0,2.99
64,0.001,1,0,0,6161,362,350,202,14.99
65,0.001,1,0,0,740,87,462,889,9.99
66,0.001,1,0,0,1555,117,545,849,14.99
67,0.001,1,0,0,2434,236,750,1041,14.99
68,0.001,1,0,0,490,97,0,0,14.99
69,0.001,1,0,0,180,33,0,0,1.99
70,0.001,1,0,0,31,9,0,0,3.99
71,0.001,1,0,0,145,77,0,0,5.99
72,0.001,1,0,0,212,50,732,732,4.99
73,0.001,1,0,0,282,113,831,1232,9.99
74,0.001,1,0,33,1633,272,972,1273,15.99
75,0.001,1,0,0,142,48,648,648,3.49
76,0.001,1,0,0,57,18,13,13,3.49
77,0.001,1,0,69,2832,4032,1744,3386,24.99
78,0.001,1,0,0,52,17,0,0,22.99
79,0.001,1,0,0,127,31,0,0,22.99
80,0.001,1,0,0,33,14,0,0,22.99
81,0.001,1,0,0,5438,343,293,351,5.99
82,0.001,1,0,0,139,39,939,939,3.99
83,0.001,1,0,0,793,198,46,60,8.59
84,0.001,1,0,0,71,36,0,0,3.99
85,0.001,1,0,0,294,69,0,0,3.99
86,0.001,1,0,0,482,53,1422,1429,7.99
87,0.001,1,0,0,30,94,0,0,4.49
88,0.001,1,0,0,256,172,1,1,4.49
89,0.001,1,0,0,429,137,270,270,4.49
90,0.001,1,0,0,437,37,267,267,4.25
91,0.001,1,0,0,71,28,0,0,4.25
92,0.001,1,0,0,1106,66,214,254,4.25
93,0.001,1,0,0,707,58,1,1,0.0
94,0.001,1,0,0,10,2,0,0,4.25
95,0.001,1,0,0,10,3,0,0,4.25
96,0.001,1,0,0,21,8,0,0,4.25
97,0.001,1,0,0,11,5,0,0,4.25
98,0.001,1,0,0,23,7,0,0,4.25
99,0.001,1,0,0,368,24,237,237,4.25
100,0.001,1,0,0,98,18,0,0,4.25
101,0.001,1,0,0,8,5,0,0,4.25
102,0.001,1,0,0,15,3,0,0,4.25
103,0.001,1,0,21,14630,454,480,374,4.25
104,0.001,1,0,0,97,57,0,0,4.25
105,0.001,1,0,0,8,3,0,0,4.25
106,0.001,1,0,14,435,28,0,0,4.25
107,0.001,1,0,0,1181,377,262,371,5.59
108,0.001,1,0,0,559,79,8,8,5.59
109,0.001,1,0,0,1847,95,287,318,6.99
110,0.001,1,0,0,1434,219,20,24,3.99
111,0.001,1,0,0,260,71,0,0,7.19
112,0.001,1,0,0,369,110,111,111,6.99
113,0.001,1,0,0,259,103,771,771,6.99
114,0.001,1,0,37,8204,456,491,232,6.99
115,0.001,1,0,0,1394,129,49,64,9.99
116,0.001,1,0,0,2578,405,1166,13,2.99
117,0.001,1,0,0,2641,193,296,436,5.99
118,0.001,1,0,0,39,49,0,0,2.99
119,0.001,1,0,0,184,65,0,0,5.99
120,0.001,1,0,0,121,20,0,0,2.99
121,0.001,1,0,29,363721,16433,12422,1875,6.99
122,0.001,1,0,0,4,5,0,0,5.99
123,0.001,1,0,0,119,43,0,0,25.99
124,0.001,1,0,0,4,2,0,0,3.99
125,0.001,1,0,0,43,14,78,78,5.99
126,0.001,1,0,0,57,36,0,0,7.99
127,0.001,1,0,0,77,41,0,0,6.99
128,0.001,1,0,0,31,17,0,0,7.99
